Begin Rejuvenation count: 1
Original number of rows in prices dataframe: 233
    AvailabilityZone      InstanceType  MaximumNetworkInterfaces  SpotPrice  PricePerInterface                 Timestamp
936       us-east-1c        m6gd.large                         3     0.0500           0.020000 2024-07-03 17:47:03+00:00
368       us-east-1c         m7a.large                         3     0.0500           0.020000 2024-07-03 18:47:09+00:00
491       us-east-1b         r5a.large                         3     0.0502           0.020067 2024-07-03 18:32:12+00:00
664       us-east-1a         c5n.large                         3     0.0505           0.020167 2024-07-03 18:17:01+00:00
452       us-east-1b         r6a.large                         3     0.0507           0.020233 2024-07-03 18:32:32+00:00
574       us-east-1b         a1.xlarge                         4     0.0518           0.016700 2024-07-03 18:17:36+00:00
537       us-east-1b         c1.medium                         2     0.0524           0.028700 2024-07-03 18:18:00+00:00
196       us-east-1d        r6gd.large                         3     0.0526           0.020867 2024-07-03 19:02:31+00:00
523       us-east-1b         r6i.large                         3     0.0536           0.021200 2024-07-03 18:31:55+00:00
54        us-east-1b        m6in.large                         3     0.0539           0.021300 2024-07-03 19:17:17+00:00
671       us-east-1b         m5n.large                         3     0.0547           0.021567 2024-07-03 18:16:59+00:00
21        us-east-1f        m5dn.large                         3     0.0560           0.022000 2024-07-03 19:17:43+00:00
263       us-east-1c        c6g.xlarge                         4     0.0561           0.017775 2024-07-03 19:02:01+00:00
230       us-east-1c         r7i.large                         3     0.0571           0.022367 2024-07-03 19:02:13+00:00
142       us-east-1a         m5d.large                         3     0.0572           0.022400 2024-07-03 19:16:47+00:00
611       us-east-1a         i4g.large                         3     0.0578           0.022600 2024-07-03 18:17:19+00:00
623       us-east-1a        r7gd.large                         3     0.0582           0.022733 2024-07-03 18:17:15+00:00
519       us-east-1c        r7gd.large                         3     0.0588           0.022933 2024-07-03 18:31:57+00:00
397       us-east-1c         r6i.large                         3     0.0590           0.023000 2024-07-03 18:46:55+00:00
912       us-east-1d          r5.large                         3     0.0593           0.023100 2024-07-03 17:47:13+00:00
55        us-east-1c          r4.large                         3     0.0596           0.023200 2024-07-03 19:17:17+00:00
346       us-east-1f         i4g.large                         3     0.0596           0.023200 2024-07-03 18:47:19+00:00
481       us-east-1e          r4.large                         3     0.0611           0.023700 2024-07-03 18:32:16+00:00
305       us-east-1a          i3.large                         3     0.0618           0.023933 2024-07-03 18:47:45+00:00
219       us-east-1d        t3a.xlarge                         4     0.0623           0.019325 2024-07-03 19:02:18+00:00
324       us-east-1c         r7a.large                         3     0.0627           0.024233 2024-07-03 18:47:33+00:00
286       us-east-1a        t3a.xlarge                         4     0.0641           0.019775 2024-07-03 18:48:11+00:00
670       us-east-1f        m7g.xlarge                         4     0.0647           0.019925 2024-07-03 18:16:59+00:00
93        us-east-1d          m1.large                         3     0.0648           0.024933 2024-07-03 19:17:04+00:00
374       us-east-1b         r5d.large                         3     0.0657           0.025233 2024-07-03 18:47:07+00:00
822       us-east-1d          i3.large                         3     0.0657           0.025233 2024-07-03 17:48:08+00:00
143       us-east-1b         r7a.large                         3     0.0659           0.025300 2024-07-03 19:16:47+00:00
740       us-east-1b         r5b.large                         3     0.0662           0.025400 2024-07-03 18:02:36+00:00
206       us-east-1a          r3.large                         3     0.0663           0.025433 2024-07-03 19:02:27+00:00
701       us-east-1e          r3.large                         3     0.0665           0.025500 2024-07-03 18:03:00+00:00
13        us-east-1b        r6in.large                         3     0.0666           0.025533 2024-07-03 19:17:51+00:00
